Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
"مرحبا، كان تقابلنا من قبل","يا هلا، لا ما بعتقد","السلام عليكم، كان اتقابلنا قبل كدة","يا اهلا، لا معتقدش"
ممكن تريحي اعصابك شوي و بلا خناق,ما بدي و أصلا انا مش معصبة,ممكن تريحي اعصابك شوية وبلاش خناق,مش عايز وأصلا انا مش متعصبة
ايمتى ناوي تنضف غرفتك,"انا مش بالمود، و ما قلي خلق",امتى ناوي تنضف اوضتك,"انا مش في المود، و مليش خلق"
اليوم اخدو اختي عالمستشفى,اوف خير شو صاير شو اشبا,انهردة اخدوا اختي على المستشفى,اوف خير ايه الي حاصل مالها
شو في مناطق حلوة اقدر زورا بالمنطقة,"في القلعة البرية و البحرية، هول احلى شي",ايه في مناطق حلوة اقدر ازورها في المنطقة,"في القلعة البرية والبحرية، دول احلى حاجة"
"مرحبا، انا جاركن الجديد، تشرفت بوجودكن بالحي","مرحبا جار، ايه و نحنا نبسطنا انو انت جارنا","السلام عليكم، انا جاركم الجديد، تشرفت بوجودكم في الحي","السلام عليكم يا جاري، اه واحنا انبسطنا ان انت جارنا"
شو بتعمل لما تكون معصب,عادتن بجرب هدي حالي و بسال حالي أي معصب,بتعمل ايه لما تبقى متعصب,عدتا بجرب اهدي نفسي واسال نفسي ليه متعصب
انا بعتذر بس ما قادر اجي,"لا ولو، نوعدنا فيك",انا بعتذر بس مش حقدر اجي,"لا عيب، اتعشيمنا فيك"
بردانة كتير لدرجة انو عم برجف,طيب خلينا نقوم نقعد بالشمس,بردانة جدا لدرجة اني برجف,طيب خلينا نقوم نقعد في الشمس
كتير غبية هالانسانة,"مين بيهتم، المهم تكون حلوة",كتير غبية الانسانة ديه,"مين بيهتم، المهم تكون حلوة"
لما نكون سوا بحس انو الوقت ما عم يمشي,"كيف يعني، شو هالآحاسيس هلق",لما نكون سوا بحس ان الوقت مبيمشيش,"اذاي يعني، ايه الاسيس ديه دلوقتي"
بعرسي بدي اعزم كا اهل الضيعة,حبيبتي وين بدن يساعو هول,في فرحي عايز اعزم القرية كلها,حبيبتي حيقدوا فين دول
"أخيرا وصلتي، و بعد في التاني ليش هلقد ماخر",يالله رح دقلو شوف وينو,"أخيرا وصلتي، و لسة في التاني ليه اتأخر كدة",يالله حرنله اشوفه فين
ليش المعلمة هيك صارت تعيط بنص الصف,"ما بعرف، شكلا مضايقة و عم تفش خلقا فينا",ليه المدرسة بقت كدة تزعق في نص الفصل,"معرفش، شكلها مضايقة و بتطلعهم علينا"
المنطقة اللي ساكن فيها تعتبر اثرية,"المفروض، فيها كذا معلم سياحي لان",المنطقة اللي ساكن فيها يعتبر اثرية,"المفروض، عشان فيها كذا معلم سياحي"
ليش هيك وجك كلو شحابير,"الحق على خيي الزغير، بدي كسرو",ليه كدة وشك كله هباب كده,"الحق على اخويا الصغير، عايز اكسره"
"كبف المدرسة الجديدة، مرتاح",ايه و صار عندي رفقا جدد,"ايه اخبار المدرسة الجديدة، مرتاح",اه وبقا عندي صحاب جداد
كام ولد انتو بالعيلة,"عيلتنا كتير كبيرة، في شي ١٥",كام ولد انتوا في العيلة,عيلتنا كبيرة جدا في حوالي ١٥
"شو بيك، مبين زعلان خير في شي",سقطت بامتحان السواقة و كتير مضايق,"مالك، باين عليك زعلان خير فيه حاجة",سقطت في امتحان السواقة ومدايقة جدا
"يالله خلينا نروح عالمغارة، ليش خيفان",بحس حتكون خطرة الشغلة بلاها,"يالله خلينا نروح على المغارة، ليه خايف",بحس حيكون خطير الموضوع بلاش
اشتريت السيارة عروقك او كيف,مبلا اكيد مبارح اشتريتا و اليوم تفريغا,اشتريت العربية على زوقك ولا اذاي,لا اكيد اه امبارح اشتريتها
"المكتبة شوي و بتسكر، كيف فيي ساعدك",بدي استعير كتاب كرمال ادرس منو للامتحانات,"المكتبة شوية و تقفل، ممكن اساعدك اذاي",عايز استلف كتاب عشان اذاكر منه للامتحانات
سمعت الاخبار,لا خير في شي,سمعت الاخبار,لا خير في حاجة
"في خبرية مش حلوة، انسرق بيت رفيقنا اليوم","العما شو هالايام اللي وصلنالا، كبف نسرق؟","في خبر مش حلو، اتسرق بيت صاحبنا انهردة","ايه الايام الي وصلنلها ديه، اتسرق اذاي؟"
لازم نتفق عاسماء الناس اللي بدنا نعزما,ايه لحظة هلق بجيب ورقة و قلم,لازم نتفق على اسماء الناس الي حنعزمها,اه لحظة دلوقتي اجيب ورقة و قلم
"مرحبا، ممكن تخبري خيك انو انا اتصلت و ناطرو",اه ايه يالله هلق بفيقو تيحكيك,"السلام عليكم، ممكن تقولي لاخوكي ان انا اتصلت ومستانيه",اه ايوة يالله دلوقتي حصحيه يكلمك
ايمتا مسافر من غير الشر,بكرا الفجر طيارتي,امتا مسافر من غير شر,بكرا الفجر طيارتي
كانت الحفلة روعة,عنجد كتير انبسطنا,كانت الحفلة روعة,بجد انبسطنا جدا
هلق وصلتك رسالة فيك تشوفا لو سمحت,ثواني بخلص اللي بايدي و بشوفا,دلوقتي وصلتلك رسالة ممكن تشوفيها لو سمحتي,ثواني بخلص الي في ايدي و حشوفها
لوين بدك تسافر و مع مين,حيالله محل غير هون,عايز تسافر فين و مع مين,اي محل غير هنا
مبارح نسيت شمسيتي و شتت عليي,هوي الصبح كانت مشمسة ما بعرف شو صار,امبارح نسيت شمسيتي و شتت عليا,هوا الصبح كانت مشمسة ماعرفش ايه الي حصل
هول التنين بروحو عالمطاعم سوا و دايمان مع بعض,طنجرة و لقت غطاها,الاتنين دول بيروحوا عالمطاعم سوا و دايمان مع بعض,حلة و لقت غطاها
شو كيف الشغل الجديد,كتير متعب بس منقول الحمدالله,ايه اخبار الشغل الجديد,تعبان جدا بس نقول الحمدلله
بتحب السفر كتير او بيتوتي,"احلى شي السفر، ،اكتر شي بحب تركيا",بتحب السفر جدا ولا بيتوتي,"احلى حاجة السفر، اكتر حاجة بحب تركيا"
ما رح اقدر اجي اليوم معي اسهال,"اوف سلامتك، طمني بس تصح",مش حقدر اجي انهردة عندي اسهال,"اوف سلامتك، طمني اول متخف"
"كيفك شو الاخبار، الكل بخير",ماشي الحال أوضاع ما منيحة بس منقول الحمدالله,"عامل ايه ايه اخبارك، الكل بخير",ماشي الحل الأوضاع مش كويس بس بنقول الحمدلله
شو رايك نمشرعا عالبحر الأسبوع الاجاي,الأسبوع الجاي عندي شغل بركي اللي بعدو,"ايه رأيك في موضوع لقاح كورونا، حتاخده؟",الأسبوع الجي عندي شغل يمكن اللي بعده
"شو بيك كانو مش رايقة معك، صاير شي",اليوم كان عيد ميلادي و ما حدا تذكر,"مالك مش رايقة ليه معاك، في حاجة حاصلة",انهردة كان عيد ميلادي وماحدش افتكر
ايمتى حتوقف شرب؟ انا معش طايقة هيدا الوضع,عطيني اخر فرصة و بوعدك اتغير,امتى حتوقف شرب؟ انا مش طايقة الوضع ده,اديني اخر فرصة واوعدك حتغير
"وأخيرا خلص الصف، زهقت حياتي يا زلمي",طول بالك بعدو السمستر باوله,"واخيرا خلص الفصل، زهقت جدا يا راجل",طول بالك لسة السمستر في اوله
كل عام و انتو بخير,مرسي ينعاد عليكن بالصحة و العافية,كل سنة انتم طيبين,شكرا يدوم عليكم بالصحة و العافية
ايه و شو بتحب تساوي باوقات فراغك,بحب انزل عالقهوة و اشرب ارجيلة,اه وبتحب تعمل ايه في اوقات فراغك,بحب انزل القهوة و اشرب شيشا
مين كسر القزاز,خيي الزغير هوي و عم يلعب,مين كسر الازاز,اخويا الصغير وهو بيلعب
فيك تقرالي شو مكتوب بليز,هوي انا و يادوب شايف,ممكن تقرالي ايه الي مكتوب لو سمحت,هوا انا يادوب شايف
كيف كان الاجتماع؟ رواٍق؟,لا والله الوضع موتر كتير,كان عامل اذاي الاجتماع؟ رايق؟,لا والله الوضع موتر جدا
وين بقعد كتير في عجقة,شو رايك نقغد وراورا في محلات,اقعد فين زحمة اوي,ايه رأيك نقعد ورا فيه اماكن
شو جاهزين,ايه جاهزين يالله,ايه جاهزين,اه جاهزين يالله
شو رايك باللون هيدا,ما بحبو كتير,ايه رأيك في اللون ده,مابحبوش
